province,x,y
湖北省,114.3365041,30.54775934
浙江省,120.148304,30.26792721
天津市,117.1967017,39.086796
辽宁省,123.4228531,41.83336827
江苏省,118.7577787,32.06293988
北京市,116.4007614,39.90319545
山东省,117.0150686,36.66837343
广东省,113.260666,23.13437604
四川省,104.0644909,30.57395423
云南省,102.7085665,25.04827561
安徽省,117.3183977,31.7303065
上海市,121.4694789,31.2319438
河北省,114.5240829,38.03692134
宁夏回族自治区,106.2546032,38.47074746
福建省,119.291198,26.10321955
河南省,113.7468131,34.76639291
广西壮族自治区,108.3239973,22.81805165
黑龙江省,126.6569817,45.74030729
江西省,115.9041603,28.6787704
青海省,101.7780664,36.62107999
重庆市,106.548286,29.56554988
新疆维吾尔自治区,87.6241407,43.791964
湖南省,112.9774288,28.11599524
陕西省,108.9493038,34.27105985
甘肃省,103.8235766,36.05971273
贵州省,106.7042358,26.60153108
内蒙古自治区,111.759091,40.81597842
吉林省,125.3194761,43.89358783
山西省,112.5567316,37.87300213
海南省,110.3445927,20.02210421
西藏自治区,91.11624195,29.6497093
